tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Sospecha de campo minado,SANTANDER,68,SAN VICENTE DE CHUCURÍ,68689,2014,10,Incidente,Fincas,Rural,6.84073,-73.53009,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-73.53009, 6.84073]}"
Sospecha de campo minado,SANTANDER,68,EL CARMEN,68235,2013,9,Incidente,Campo,Rural,6.72416,-73.60923,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-73.60923, 6.72416]}"
Sospecha de campo minado,ANTIOQUIA,5,GRANADA,5313,2015,4,Incidente,Campo,Rural,6.11738,-75.10259,Sospecha De Campo Minado,"{'type': 'Point', 'coordinates': [-75.10259, 6.11738]}"
Desminado militar en operaciones,ARAUCA,81,ARAUQUITA,81065,2015,5,Incidente,Oleoductos,Rural,7.010011111,-71.44830556,Vereda Peralonso,"{'type': 'Point', 'coordinates': [-71.44830556, 7.010011111]}"
Accidente por MAP,NORTE DE SANTANDER,54,TIBÚ,54810,2015,5,Accidente,Sin informacion,Rural,8.84638888888889,-72.7997222222222,Sector La Virgen,"{'type': 'Point', 'coordinates': [-72.7997222222222, 8.84638888888889]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO ASÍS,86568,2015,3,Incidente,Sin informacion,Rural,0.5036111111,-76.45666667,Vereda El Aguila,"{'type': 'Point', 'coordinates': [-76.45666667, 0.5036111111]}"
Desminado militar en operaciones,GUAVIARE,95,CALAMAR,95015,2015,4,Incidente,Sin informacion,Rural,1.9616666667,-72.65333333,Puente Que Comunica Las Instalaciones Del Batallon,"{'type': 'Point', 'coordinates': [-72.65333333, 1.9616666667]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,EL TARRA,54250,2015,4,Incidente,Sin informacion,Rural,8.6213888889,-73.10138889,Vereda Divino Niño,"{'type': 'Point', 'coordinates': [-73.10138889, 8.6213888889]}"
Desminado militar en operaciones,META,50,MESETAS,50330,2010,3,Incidente,Sin informacion,Rural,3.315556,-74.099167,Guadualeja,"{'type': 'Point', 'coordinates': [-74.099167, 3.315556]}"
Desminado militar en operaciones,ANTIOQUIA,5,APARTADÓ,5045,2010,3,Incidente,Sin informacion,Rural,7.895833,-76.572778,La Vereda Guineo Alto,"{'type': 'Point', 'coordinates': [-76.572778, 7.895833]}"
Incautaciones,HUILA,41,COLOMBIA,41206,2009,10,Incidente,Caleta,Rural,3.3025,-74.778333,La Holanda,"{'type': 'Point', 'coordinates': [-74.778333, 3.3025]}"
Desminado militar en operaciones,HUILA,41,NEIVA,41001,2010,3,Incidente,Sin informacion,Rural,2.936944,-75.045,La Vegalarga,"{'type': 'Point', 'coordinates': [-75.045, 2.936944]}"
Desminado militar en operaciones,PUTUMAYO,86,ORITO,86320,2009,10,Incidente,Sin informacion,Rural,0.650833,-77.141111,Las Ventanas,"{'type': 'Point', 'coordinates': [-77.141111, 0.650833]}"
Desminado militar en operaciones,TOLIMA,73,ORTEGA,73504,2008,6,Incidente,Sin informacion,Rural,3.947778,-75.383056,Vereda San Miguel,"{'type': 'Point', 'coordinates': [-75.383056, 3.947778]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,LABATECA,54377,2009,10,Incidente,Sin informacion,Rural,7.271944,-72.547222,El Tincala,"{'type': 'Point', 'coordinates': [-72.547222, 7.271944]}"
Desminado militar en operaciones,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2009,4,Incidente,Sin informacion,Rural,2.613889,-74.694167,El Rio Coreguaje,"{'type': 'Point', 'coordinates': [-74.694167, 2.613889]}"
Desminado militar en operaciones,CORDOBA,23,TIERRALTA,23807,2009,4,Incidente,Sin informacion,Rural,7.826667,-76.037778,El Manso,"{'type': 'Point', 'coordinates': [-76.037778, 7.826667]}"
Desminado militar en operaciones,ANTIOQUIA,5,SAN FRANCISCO,5652,2009,3,Incidente,Sin informacion,Rural,5.948056,-75.055833,La Vereda El Boqueron,"{'type': 'Point', 'coordinates': [-75.055833, 5.948056]}"
Desminado militar en operaciones,HUILA,41,COLOMBIA,41206,2009,1,Incidente,Sin informacion,Rural,3.731944,-74.531389,La Vereda Tapiales,"{'type': 'Point', 'coordinates': [-74.531389, 3.731944]}"
Desminado militar en operaciones,CHOCO,27,QUIBDÓ,27001,2009,9,Incidente,Sin informacion,Rural,5.695556,-76.661944,El Malecon,"{'type': 'Point', 'coordinates': [-76.661944, 5.695556]}"
Desminado militar en operaciones,META,50,URIBE,50370,2009,9,Incidente,Sin informacion,Rural,3.023056,-74.233611,El Paraiso,"{'type': 'Point', 'coordinates': [-74.233611, 3.023056]}"
Desminado militar en operaciones,ANTIOQUIA,5,SAN CARLOS,5649,2009,9,Incidente,Sin informacion,Rural,6.179167,-74.901111,La Risaralda,"{'type': 'Point', 'coordinates': [-74.901111, 6.179167]}"
Desminado militar en operaciones,ANTIOQUIA,5,CÁCERES,5120,2009,8,Incidente,Sin informacion,Rural,7.469167,-75.148056,El Peladero,"{'type': 'Point', 'coordinates': [-75.148056, 7.469167]}"
Desminado militar en operaciones,META,50,URIBE,50370,2009,6,Incidente,Sin informacion,Rural,2.863611,-74.592778,El Leyva,"{'type': 'Point', 'coordinates': [-74.592778, 2.863611]}"
Desminado militar en operaciones,NARIÑO,52,POLICARPA,52540,2011,6,Incidente,Sin informacion,Rural,1.832778,-77.547222,Corregimiento Santacruz,"{'type': 'Point', 'coordinates': [-77.547222, 1.832778]}"
Desminado militar en operaciones,CAQUETA,18,MONTAÑITA,18410,2011,6,Incidente,Sin informacion,Rural,1.044444,-75.144444,Vereda Alto Cuarenta,"{'type': 'Point', 'coordinates': [-75.144444, 1.044444]}"
Desminado militar en operaciones,HUILA,41,COLOMBIA,41206,2011,6,Incidente,Sin informacion,Rural,3.163889,-74.804444,La Hondita,"{'type': 'Point', 'coordinates': [-74.804444, 3.163889]}"
Desminado militar en operaciones,CAQUETA,18,SOLANO,18756,2011,6,Incidente,Sin informacion,Rural,1.024444,-75.152222,Vereda El Jardin,"{'type': 'Point', 'coordinates': [-75.152222, 1.024444]}"
Desminado militar en operaciones,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2011,6,Incidente,Sin informacion,Rural,2.513333,-74.662222,Area General Honduras,"{'type': 'Point', 'coordinates': [-74.662222, 2.513333]}"
Desminado militar en operaciones,TOLIMA,73,PLANADAS,73555,2011,6,Incidente,Sin informacion,Rural,3.017222,-75.783611,Cerro San Miguel,"{'type': 'Point', 'coordinates': [-75.783611, 3.017222]}"
Desminado militar en operaciones,BOLIVAR,13,MONTECRISTO,13458,2011,6,Incidente,Sin informacion,Rural,7.826944,-74.453056,Las Vegas,"{'type': 'Point', 'coordinates': [-74.453056, 7.826944]}"
Desminado militar en operaciones,TOLIMA,73,PLANADAS,73555,2011,5,Incidente,Sin informacion,Rural,2.983889,-75.833611,Vereda Lejanias,"{'type': 'Point', 'coordinates': [-75.833611, 2.983889]}"
Desminado militar en operaciones,META,50,VISTAHERMOSA,50711,2011,5,Incidente,Sin informacion,Rural,2.878333,-73.79,Sector Agua Linda,"{'type': 'Point', 'coordinates': [-73.79, 2.878333]}"
Desminado militar en operaciones,ANTIOQUIA,5,ANORÍ,5040,2011,5,Incidente,Sin informacion,Rural,7.050833,-75.150278,Cabecera Municipal,"{'type': 'Point', 'coordinates': [-75.150278, 7.050833]}"
Desminado militar en operaciones,ANTIOQUIA,5,ITUANGO,5361,2011,5,Incidente,Sin informacion,Rural,7.325556,-75.731667,Vereda El Olivar,"{'type': 'Point', 'coordinates': [-75.731667, 7.325556]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,CÚCUTA,54001,2011,5,Incidente,Sin informacion,Rural,8.349444,-72.493056,Vereda El Recreo,"{'type': 'Point', 'coordinates': [-72.493056, 8.349444]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO ASÍS,86568,2011,5,Incidente,Sin informacion,Rural,0.485,-76.556389,Vereda Remolinos,"{'type': 'Point', 'coordinates': [-76.556389, 0.485]}"
Desminado militar en operaciones,CESAR,20,SAN DIEGO,20750,2011,4,Incidente,Sin informacion,Rural,10.186389,-73.203889,El Tocaimo,"{'type': 'Point', 'coordinates': [-73.203889, 10.186389]}"
Sospecha de campo minado,ANTIOQUIA,5,GRANADA,5313,2010,6,Incidente,Sin informacion,Rural,6.07305,-75.10152,"Vereda La Estrella,Sector La Escuela","{'type': 'Point', 'coordinates': [-75.10152, 6.07305]}"
Sospecha de campo minado,ANTIOQUIA,5,SONSÓN,5756,2010,6,Incidente,Sin informacion,Rural,5.836216,-75.196339,Los Alumbres Surrumbal Rio Manizales,"{'type': 'Point', 'coordinates': [-75.196339, 5.836216]}"
Sospecha de campo minado,ANTIOQUIA,5,CARMEN DE VIBORAL,5148,2009,12,Incidente,Sin informacion,Rural,5.997125,-75.310893,El Acueducto,"{'type': 'Point', 'coordinates': [-75.310893, 5.997125]}"
Desminado militar en operaciones,CAUCA,19,BALBOA,19075,2023,9,Incidente,Sin informacion,Rural,2.07388888888889,-77.2580555555556,EL NARANJAL,"{'type': 'Point', 'coordinates': [-77.2580555555556, 2.07388888888889]}"
Sospecha de campo minado,NARIÑO,52,TUMACO,52835,2014,1,Incidente,Sin informacion,Rural,1.338756255,-78.656243702,MATA DE PLATANO,"{'type': 'Point', 'coordinates': [-78.656243702, 1.338756255]}"
Sospecha de campo minado,NARIÑO,52,BARBACOAS,52079,2013,1,Incidente,Sin informacion,Rural,1.264573033,-78.564293642,MUNGUI 1,"{'type': 'Point', 'coordinates': [-78.564293642, 1.264573033]}"
Accidente por MAP,PUTUMAYO,86,PUERTO LEGUÍZAMO,86573,2023,10,Accidente,Campo,Rural,-0.17775748923,-74.7814805091,VEREDA EL DIAMANTE,"{'type': 'Point', 'coordinates': [-74.7814805091, -0.17775748923]}"
Sospecha de campo minado,BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,2009,12,Incidente,Sin informacion,Rural,9.67889,-75.34044,Finca Ovejero,"{'type': 'Point', 'coordinates': [-75.34044, 9.67889]}"
Sospecha de campo minado,NARIÑO,52,BARBACOAS,52079,2009,12,Incidente,Sin informacion,Rural,1.63568,-78.25,La Cuchilla,"{'type': 'Point', 'coordinates': [-78.25, 1.63568]}"
Desminado militar en operaciones,META,50,URIBE,50370,2009,8,Incidente,Sin informacion,Rural,3.286389,-74.339167,El Diamante,"{'type': 'Point', 'coordinates': [-74.339167, 3.286389]}"
Sospecha de campo minado,BOLIVAR,13,EL CARMEN DE BOLÍVAR,13244,2009,12,Incidente,Sin informacion,Rural,9.57969,-75.03735,Vereda De Morrocoy,"{'type': 'Point', 'coordinates': [-75.03735, 9.57969]}"
Desminado militar en operaciones,ANTIOQUIA,5,DABEIBA,5234,2011,4,Incidente,Sin informacion,Rural,7.150833,-76.318056,Sector El Meson,"{'type': 'Point', 'coordinates': [-76.318056, 7.150833]}"
Desminado militar en operaciones,LA GUAJIRA,44,FONSECA,44279,2011,4,Incidente,Sin informacion,Rural,10.765833,-72.773611,San Luis,"{'type': 'Point', 'coordinates': [-72.773611, 10.765833]}"
Desminado militar en operaciones,CAQUETA,18,MILÁN,18460,2011,4,Incidente,Sin informacion,Rural,1.084167,-75.238056,Las Margaritas,"{'type': 'Point', 'coordinates': [-75.238056, 1.084167]}"
Desminado militar en operaciones,CASANARE,85,SÁCAMA,85315,2011,3,Incidente,Sin informacion,Rural,6.058056,-72.113056,Barronegro,"{'type': 'Point', 'coordinates': [-72.113056, 6.058056]}"
Desminado militar en operaciones,ANTIOQUIA,5,BRICEÑO,5107,2011,3,Incidente,Sin informacion,Rural,7.077778,-75.622778,La Mina,"{'type': 'Point', 'coordinates': [-75.622778, 7.077778]}"
Desminado militar en operaciones,META,50,MESETAS,50330,2011,3,Incidente,Sin informacion,Rural,2.916389,-74.089722,Palmeras,"{'type': 'Point', 'coordinates': [-74.089722, 2.916389]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO ASÍS,86568,2011,3,Incidente,Sin informacion,Rural,0.316111,-76.596389,La Cumbre,"{'type': 'Point', 'coordinates': [-76.596389, 0.316111]}"
Desminado militar en operaciones,HUILA,41,YAGUARÁ,41885,2011,3,Incidente,Sin informacion,Rural,2.606111,-75.476944,Vilu,"{'type': 'Point', 'coordinates': [-75.476944, 2.606111]}"
Desminado militar en operaciones,CAQUETA,18,FLORENCIA,18001,2009,8,Incidente,Sin informacion,Rural,1.863056,-75.514167,Año Nuevo,"{'type': 'Point', 'coordinates': [-75.514167, 1.863056]}"
Desminado militar en operaciones,CAQUETA,18,MONTAÑITA,18410,2009,8,Incidente,Sin informacion,Rural,1.276944,-75.215278,La Argelia,"{'type': 'Point', 'coordinates': [-75.215278, 1.276944]}"
Desminado militar en operaciones,META,50,EL DORADO,50270,2011,2,Incidente,Sin informacion,Rural,3.700278,-73.853889,La Vereda San Pedro,"{'type': 'Point', 'coordinates': [-73.853889, 3.700278]}"
Desminado militar en operaciones,VALLE DEL CAUCA,76,FLORIDA,76275,2011,2,Incidente,Sin informacion,Rural,3.320833,-76.131944,Aguitas,"{'type': 'Point', 'coordinates': [-76.131944, 3.320833]}"
Desminado militar en operaciones,ANTIOQUIA,5,TARAZÁ,5790,2011,2,Incidente,Sin informacion,Rural,7.467778,-75.43,Q. San Julian,"{'type': 'Point', 'coordinates': [-75.43, 7.467778]}"
Desminado militar en operaciones,NORTE DE SANTANDER,54,SAN CALIXTO,54670,2011,2,Incidente,Sin informacion,Rural,8.454167,-73.214722,San Jeronimo,"{'type': 'Point', 'coordinates': [-73.214722, 8.454167]}"
Desminado militar en operaciones,PUTUMAYO,86,SAN MIGUEL,86757,2011,2,Incidente,Sin informacion,Rural,0.278611,-76.885556,El Bajo Amaron,"{'type': 'Point', 'coordinates': [-76.885556, 0.278611]}"
Desminado militar en operaciones,META,50,URIBE,50370,2011,2,Incidente,Sin informacion,Rural,2.968889,-74.290833,La Vereda La Palestina,"{'type': 'Point', 'coordinates': [-74.290833, 2.968889]}"
Desminado militar en operaciones,ARAUCA,81,TAME,81794,2011,1,Incidente,Sin informacion,Rural,6.390278,-71.888056,Pte Tame,"{'type': 'Point', 'coordinates': [-71.888056, 6.390278]}"
Desminado militar en operaciones,ANTIOQUIA,5,ANORÍ,5040,2011,1,Incidente,Sin informacion,Rural,7.076111,-75.138889,La Vereda Arenales,"{'type': 'Point', 'coordinates': [-75.138889, 7.076111]}"
Desminado militar en operaciones,ANTIOQUIA,5,CAMPAMENTO,5134,2011,1,Incidente,Sin informacion,Rural,7.121944,-75.325556,La Vereda El Limon,"{'type': 'Point', 'coordinates': [-75.325556, 7.121944]}"
Desminado militar en operaciones,TOLIMA,73,PLANADAS,73555,2011,1,Incidente,Sin informacion,Rural,2.993333,-75.914722,La Vereda Marquetalia,"{'type': 'Point', 'coordinates': [-75.914722, 2.993333]}"
Desminado militar en operaciones,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2011,1,Incidente,Sin informacion,Rural,2.596389,-74.854444,Alto Avance,"{'type': 'Point', 'coordinates': [-74.854444, 2.596389]}"
Accidente por MAP,ANTIOQUIA,5,SAN LUIS,5660,2003,11,Accidente,Sin informacion,Rural,6.042723,-74.994899,Sitio Las Palmas,"{'type': 'Point', 'coordinates': [-74.994899, 6.042723]}"
Accidente por MAP,CALDAS,17,SAMANÁ,17662,2007,1,Accidente,Sin informacion,Rural,5.653056,-75.036389,Sin información,"{'type': 'Point', 'coordinates': [-75.036389, 5.653056]}"
Accidente por MAP,CALDAS,17,SAMANÁ,17662,2006,11,Accidente,Sin informacion,Rural,5.593889,-75.013056,Sitio Quiebra Del Abejorro,"{'type': 'Point', 'coordinates': [-75.013056, 5.593889]}"
Accidente por MAP,CHOCO,27,EL CARMEN DEL ATRATO,27245,2005,5,Accidente,Sin informacion,Rural,5.892603,-76.145891,Sitio La Puria,"{'type': 'Point', 'coordinates': [-76.145891, 5.892603]}"
Accidente por MAP,VALLE DEL CAUCA,76,FLORIDA,76275,2010,4,Accidente,Sin informacion,Rural,3.266388888888889,-76.11583333333333,Vereda Cajones,"{'type': 'Point', 'coordinates': [-76.11583333333333, 3.266388888888889]}"
Accidente por MAP,META,50,MESETAS,50330,2010,4,Accidente,Sin informacion,Rural,3.235,-74.07472222222222,Las Colinas,"{'type': 'Point', 'coordinates': [-74.07472222222222, 3.235]}"
Accidente por MAP,VALLE DEL CAUCA,76,FLORIDA,76275,2010,5,Accidente,Sin informacion,Rural,3.2519444444444443,-76.10861111111112,Vereda Los Alpes,"{'type': 'Point', 'coordinates': [-76.10861111111112, 3.2519444444444443]}"
Accidente por MAP,BOLIVAR,13,CANTAGALLO,13160,2010,3,Accidente,Sin informacion,Rural,7.379167,-73.918975,Sin información,"{'type': 'Point', 'coordinates': [-73.918975, 7.379167]}"
Accidente por MAP,HUILA,41,SAN AGUSTÍN,41668,2010,5,Accidente,Sin informacion,Rural,1.815,-76.35277777777777,Vereda La Esperanza,"{'type': 'Point', 'coordinates': [-76.35277777777777, 1.815]}"
Accidente por MAP,VALLE DEL CAUCA,76,PRADERA,76563,2010,6,Accidente,Sin informacion,Rural,3.388888888888889,-76.14611111111111,Cuchilla La Cristalina,"{'type': 'Point', 'coordinates': [-76.14611111111111, 3.388888888888889]}"
Accidente por MAP,GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,2010,6,Accidente,Sin informacion,Rural,2.2830555555555554,-73.64138888888888,Vereda Peñas Rojas,"{'type': 'Point', 'coordinates': [-73.64138888888888, 2.2830555555555554]}"
Accidente por MAP,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2011,1,Accidente,Campo,Rural,2.563888888888889,-74.84138888888889,Sin información,"{'type': 'Point', 'coordinates': [-74.84138888888889, 2.563888888888889]}"
Accidente por MAP,CAQUETA,18,PUERTO RICO,18592,2011,2,Accidente,Sin informacion,Rural,2.3161111111111112,-75.16666666666667,Sin información,"{'type': 'Point', 'coordinates': [-75.16666666666667, 2.3161111111111112]}"
Accidente por MAP,CAQUETA,18,PUERTO RICO,18592,2009,4,Accidente,Sin informacion,Rural,1.9325,-75.12861111111111,El Desquite,"{'type': 'Point', 'coordinates': [-75.12861111111111, 1.9325]}"
Accidente por MAP,NORTE DE SANTANDER,54,SAN CALIXTO,54670,2009,5,Accidente,Cerros,Rural,8.4625,-73.08611111111111,Vereda San Ignacio,"{'type': 'Point', 'coordinates': [-73.08611111111111, 8.4625]}"
Accidente por MAP,ANTIOQUIA,5,VALDIVIA,5854,2009,4,Accidente,Sin informacion,Rural,7.165222,-75.438081,Sin información,"{'type': 'Point', 'coordinates': [-75.438081, 7.165222]}"
Accidente por MAP,ANTIOQUIA,5,CÁCERES,5120,2009,7,Accidente,Sendero,Rural,7.437222222222222,-75.19916666666667,Cerro Alto Dolores,"{'type': 'Point', 'coordinates': [-75.19916666666667, 7.437222222222222]}"
Accidente por MAP,NARIÑO,52,EL CHARCO,52250,2009,4,Accidente,Sin informacion,Rural,2.336666666666667,-78.12083333333334,Río Tapaje,"{'type': 'Point', 'coordinates': [-78.12083333333334, 2.336666666666667]}"
Accidente por MAP,CHOCO,27,RIOSUCIO,27615,2009,3,Accidente,Sin informacion,Rural,7.437292,-77.111288,Sin información,"{'type': 'Point', 'coordinates': [-77.111288, 7.437292]}"
Accidente por MAP,CAUCA,19,BUENOS AIRES,19110,2009,8,Accidente,Sin informacion,Rural,3.020445833333333,-76.63425,Calle La Línea,"{'type': 'Point', 'coordinates': [-76.63425, 3.0204458333333335]}"
Accidente por MAP,HUILA,41,ISNOS,41359,2009,8,Accidente,Sin informacion,Rural,2.026666666666667,-76.27083333333333,Paloquemao,"{'type': 'Point', 'coordinates': [-76.27083333333333, 2.026666666666667]}"
Accidente por MAP,BOLIVAR,13,CANTAGALLO,13160,2009,8,Accidente,Sendero,Rural,7.246666666666667,-74.10194444444444,Vereda Lejanias,"{'type': 'Point', 'coordinates': [-74.10194444444444, 7.246666666666667]}"
Accidente por MAP,ANTIOQUIA,5,ITUANGO,5361,2009,3,Accidente,Sin informacion,Rural,7.171637,-75.764403,Vereda El Sinucito,"{'type': 'Point', 'coordinates': [-75.764403, 7.171637]}"
Accidente por MAP,NORTE DE SANTANDER,54,CONVENCIÓN,54206,2009,10,Accidente,Sin informacion,Rural,8.85611111111111,-73.236,Vereda Bohío Santa Fe,"{'type': 'Point', 'coordinates': [-73.236, 8.85611111111111]}"
Accidente por MAP,ANTIOQUIA,5,DABEIBA,5234,2008,7,Accidente,Caminos,Rural,7.1466666666666665,-76.0038888888889,Las Minas,"{'type': 'Point', 'coordinates': [-76.0038888888889, 7.1466666666666665]}"
Accidente por MAP,META,50,EL CASTILLO,50251,2008,9,Accidente,Sin informacion,Rural,3.6666666666666665,-73.94777777777777,Vereda Los Alpes,"{'type': 'Point', 'coordinates': [-73.94777777777777, 3.6666666666666665]}"
Accidente por MAP,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2008,9,Accidente,Sin informacion,Rural,2.667,-74.732,Sin información,"{'type': 'Point', 'coordinates': [-74.732, 2.667]}"
Accidente por MAP,SANTANDER,68,EL PEÑÓN,68250,2004,3,Accidente,Sin informacion,Rural,6.105974444444445,-73.92803083333334,Quebrada Montana,"{'type': 'Point', 'coordinates': [-73.92803083333334, 6.105974444444445]}"
Accidente por MAP,CAUCA,19,EL TAMBO,19256,2007,12,Accidente,Sin informacion,Rural,2.451476,-76.810904,Sin información,"{'type': 'Point', 'coordinates': [-76.810904, 2.451476]}"
Accidente por MAP,NORTE DE SANTANDER,54,LA PLAYA,54398,2007,11,Accidente,Sin informacion,Rural,8.214079,-73.239218,Vereda Guayabón,"{'type': 'Point', 'coordinates': [-73.239218, 8.214079]}"
Accidente por MAP,CAUCA,19,EL TAMBO,19256,2008,1,Accidente,Sin informacion,Rural,2.451476,-76.810904,Sin información,"{'type': 'Point', 'coordinates': [-76.810904, 2.451476]}"
Accidente por MAP,ANTIOQUIA,5,EL BAGRE,5250,2003,4,Accidente,Sin informacion,Rural,7.733,-74.617,Vereda Catalina,"{'type': 'Point', 'coordinates': [-74.617, 7.733]}"
Accidente por MAP,NARIÑO,52,BARBACOAS,52079,2008,9,Accidente,Sin informacion,Rural,1.672216,-78.138537,Sin información,"{'type': 'Point', 'coordinates': [-78.138537, 1.672216]}"
Accidente por MAP,GUAVIARE,95,SAN JOSÉ DEL GUAVIARE,95001,2008,6,Accidente,Sin informacion,Rural,2.564079,-72.640033,Sin información,"{'type': 'Point', 'coordinates': [-72.640033, 2.564079]}"
Accidente por MAP,CAQUETA,18,MONTAÑITA,18410,2009,3,Accidente,en sobre cerca rivera de un rio,Rural,1.49494421255,-75.4630895064,Vereda Las Parcelas,"{'type': 'Point', 'coordinates': [-75.4630895064, 1.49494421255]}"
Accidente por MAP,TOLIMA,73,CHAPARRAL,73168,2009,11,Accidente,Cerros,Rural,3.725251346111111,-75.48449782694445,Peñaranda,"{'type': 'Point', 'coordinates': [-75.48449782694445, 3.725251346111111]}"
Accidente por MAP,BOLIVAR,13,MORALES,13473,1995,4,Accidente,Sin informacion,Rural,8.270279,-73.865805,Sin información,"{'type': 'Point', 'coordinates': [-73.865805, 8.270279]}"
Accidente por MAP,CUNDINAMARCA,25,LA PALMA,25394,2001,10,Accidente,Sin informacion,Rural,5.308,-74.45,Sin información,"{'type': 'Point', 'coordinates': [-74.45, 5.308]}"
Accidente por MAP,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2007,3,Accidente,Sin informacion,Rural,2.625,-74.85,Vereda Santo Domingo,"{'type': 'Point', 'coordinates': [-74.85, 2.625]}"
Accidente por MAP,CUNDINAMARCA,25,GUAYABAL DE SÍQUIMA,25328,2003,4,Accidente,Sin informacion,Rural,4.877547,-74.466984,Mesitas,"{'type': 'Point', 'coordinates': [-74.466984, 4.877547]}"
Accidente por MAP,ANTIOQUIA,5,ZARAGOZA,5895,1994,11,Accidente,Sin informacion,Rural,7.490632,-74.867778,Sitio Arenales,"{'type': 'Point', 'coordinates': [-74.867778, 7.490632]}"
Accidente por MAP,CAQUETA,18,SAN VICENTE DEL CAGUÁN,18753,2007,10,Accidente,Sin informacion,Rural,2.693333,-74.644444,Rio Coreguaje,"{'type': 'Point', 'coordinates': [-74.644444, 2.693333]}"
Accidente por MAP,ANTIOQUIA,5,REMEDIOS,5604,2005,4,Accidente,Sin informacion,Rural,7.168056,-74.578333,Sitio Cañaverales,"{'type': 'Point', 'coordinates': [-74.578333, 7.168056]}"
Desminado militar en operaciones,PUTUMAYO,86,PUERTO ASÍS,86568,2011,1,Incidente,Sin informacion,Rural,0.495833,-76.5175,En Puerto Asis,"{'type': 'Point', 'coordinates': [-76.5175, 0.495833]}"
Accidente por MAP,TOLIMA,73,DOLORES,73236,2004,5,Accidente,Sin informacion,Rural,3.701944,-74.662222,Cuchilla Altamizal,"{'type': 'Point', 'coordinates': [-74.662222, 3.701944]}"
Accidente por MAP,BOLIVAR,13,ARENAL,13042,2001,7,Accidente,Sin informacion,Rural,8.45731,-73.941577,Sitio La Ye De San Rafael,"{'type': 'Point', 'coordinates': [-73.941577, 8.45731]}"
Accidente por MAP,NARIÑO,52,POLICARPA,52540,2006,3,Accidente,Sin informacion,Rural,1.628192,-77.459098,Sin información,"{'type': 'Point', 'coordinates': [-77.459098, 1.628192]}"
Accidente por MAP,ARAUCA,81,TAME,81794,2006,4,Accidente,Sin informacion,Rural,6.461209,-71.730855,Sector Lejanías,"{'type': 'Point', 'coordinates': [-71.730855, 6.461209]}"
Accidente por MAP,ANTIOQUIA,5,SANTUARIO,5697,2001,12,Accidente,Sin informacion,Rural,6.136617,-75.264829,Sin información,"{'type': 'Point', 'coordinates': [-75.264829, 6.136617]}"
Accidente por MAP,CAUCA,19,EL TAMBO,19256,2005,3,Accidente,Sin informacion,Rural,2.445556,-76.8175,Sitio El Obelisco,"{'type': 'Point', 'coordinates': [-76.8175, 2.445556]}"
Accidente por MAP,TOLIMA,73,PLANADAS,73555,2005,12,Accidente,Sin informacion,Rural,3.197458,-75.643224,Sin información,"{'type': 'Point', 'coordinates': [-75.643224, 3.197458]}"
Accidente por MAP,TOLIMA,73,PLANADAS,73555,2005,8,Accidente,Sin informacion,Rural,3.128056,-75.700556,Vereda Barranquillita,"{'type': 'Point', 'coordinates': [-75.700556, 3.128056]}"
Accidente por MAP,CAUCA,19,CAJIBÍO,19130,2019,1,Accidente,Sin informacion,Rural,2.62513761897,-76.5610880856,Sin información,"{'type': 'Point', 'coordinates': [-76.5610880856, 2.62513761897]}"
Accidente por MAP,CESAR,20,AGUSTÍN CODAZZI,20013,2002,10,Accidente,Sin informacion,Rural,9.876944,-73.258889,Sin información,"{'type': 'Point', 'coordinates': [-73.258889, 9.876944]}"
Accidente por MUSE,BOYACA,15,EL COCUY,15244,2001,11,Accidente,Sin informacion,Rural,6.4078,-72.444665,El Cañaveral,"{'type': 'Point', 'coordinates': [-72.444665, 6.4078]}"
Accidente por MAP,BOLIVAR,13,CARTAGENA DE INDIAS,13001,2002,5,Accidente,Sin informacion,Rural,10.397047,-75.511207,Sin información,"{'type': 'Point', 'coordinates': [-75.511207, 10.397047]}"
Accidente por MAP,BOLIVAR,13,ARENAL,13042,2023,4,Accidente,Sin informacion,Rural,8.33055555555556,-74.1394444444445,Lomas de Honda,"{'type': 'Point', 'coordinates': [-74.1394444444445, 8.33055555555556]}"
Desminado militar en operaciones,ARAUCA,81,TAME,81794,2011,1,Incidente,Sin informacion,Rural,6.238889,-71.975278,Curipao,"{'type': 'Point', 'coordinates': [-71.975278, 6.238889]}"
