tipo_evento,departamento,codigo_dane_departamento,municipio,codigo_dane_municipio,a_o,mes,evento,tipo_lugar,tipo_area,latitud_cabecera,longitud_cabecera,sitio,geocoded_column
Desminado militar en operaciones,CAQUETA,18,CARTAGENA DEL CHAIRÁ,18150,2016,3,Incidente,Sin informacion,Rural,1.06833333333333,-74.9202777777778,PALMERAS,"{'type': 'Point', 'coordinates': [-74.9202777777778, 1.06833333333333]}"
Desminado militar en operaciones,META,50,LA MACARENA,50350,2016,5,Incidente,Sin informacion,Rural,2.36805555555556,-74.2497222222222,EL RUBI,"{'type': 'Point', 'coordinates': [-74.2497222222222, 2.36805555555556]}"
Desminado militar en operaciones,META,50,PUERTO RICO,50590,2016,4,Incidente,Sin informacion,Rural,2.86,-73.4277777777778,SAN PEDRO,"{'type': 'Point', 'coordinates': [-73.4277777777778, 2.86]}"
Desminado militar en operaciones,META,50,URIBE,50370,2016,5,Incidente,Sin informacion,Rural,2.66805555555556,-74.3497222222222,CAÑO CHIGUIRO,"{'type': 'Point', 'coordinates': [-74.3497222222222, 2.66805555555556]}"
Accidente por MAP,CHOCO,27,UNGUÍA,27800,2016,5,Accidente,Sin informacion,Rural,8.23,-77.2330555555556,VEREDA EL TESORO,"{'type': 'Point', 'coordinates': [-77.2330555555556, 8.23]}"
Desminado militar en operaciones,META,50,VISTAHERMOSA,50711,2016,6,Incidente,Sin informacion,Rural,3.13666666666667,-73.9758333333333,BOQUERON,"{'type': 'Point', 'coordinates': [-73.9758333333333, 3.13666666666667]}"
Desminado militar en operaciones,META,50,URIBE,50370,2016,6,Incidente,Sin informacion,Rural,2.82916666666667,-74.21,PRIMAVERA,"{'type': 'Point', 'coordinates': [-74.21, 2.82916666666667]}"
Desminado militar en operaciones,CAQUETA,18,MILÁN,18460,2016,6,Incidente,Sin informacion,Rural,1.0475,-75.2075,CAMPO ALEGRE,"{'type': 'Point', 'coordinates': [-75.2075, 1.0475]}"
Desminado militar en operaciones,NARIÑO,52,MALLAMA,52435,2016,5,Incidente,Sin informacion,Rural,1.11583333333333,-77.8416666666667,EL GUABO,"{'type': 'Point', 'coordinates': [-77.8416666666667, 1.11583333333333]}"
Desminado militar en operaciones,NARIÑO,52,BARBACOAS,52079,2016,6,Incidente,Sin informacion,Rural,1.39722222222222,-78.0744444444444,PIEDRA VERDE,"{'type': 'Point', 'coordinates': [-78.0744444444444, 1.39722222222222]}"
Desminado militar en operaciones,ANTIOQUIA,5,YARUMAL,5887,2016,7,Incidente,Sin informacion,Rural,6.97166666666667,-75.5597222222222,LA ESMERALDA,"{'type': 'Point', 'coordinates': [-75.5597222222222, 6.97166666666667]}"
Desminado militar en operaciones,NARIÑO,52,MAGÜÍ,52427,2016,8,Incidente,Sin informacion,Rural,1.75444444444444,-78.1525,LOMA PEÑA,"{'type': 'Point', 'coordinates': [-78.1525, 1.75444444444444]}"
Desminado militar en operaciones,ANTIOQUIA,5,YARUMAL,5887,2016,7,Incidente,Sin informacion,Rural,7.05194444444444,-75.4527777777778,VITAMINAS,"{'type': 'Point', 'coordinates': [-75.4527777777778, 7.05194444444444]}"
Desminado militar en operaciones,ARAUCA,81,TAME,81794,2016,7,Incidente,Sin informacion,Rural,6.47694444444444,-71.4433333333333,SIBERIA,"{'type': 'Point', 'coordinates': [-71.4433333333333, 6.47694444444444]}"
Desminado militar en operaciones,CHOCO,27,TADÓ,27787,2016,7,Incidente,Sin informacion,Rural,5.29944444444444,-76.3319444444444,EL TABOR,"{'type': 'Point', 'coordinates': [-76.3319444444444, 5.29944444444444]}"
Desminado militar en operaciones,CAUCA,19,EL TAMBO,19256,2016,7,Incidente,Sin informacion,Rural,2.56527777777778,-77.0280555555556,PLAYA RICA,"{'type': 'Point', 'coordinates': [-77.0280555555556, 2.56527777777778]}"
Desminado militar en operaciones,META,50,LA MACARENA,50350,2016,8,Incidente,Sin informacion,Rural,2.50861111111111,-74.1877777777778,BRISAS DEL GUAYABERO,"{'type': 'Point', 'coordinates': [-74.1877777777778, 2.50861111111111]}"
Desminado militar en operaciones,META,50,URIBE,50370,2016,8,Incidente,Sin informacion,Rural,2.94083333333333,-74.2275,PLACER,"{'type': 'Point', 'coordinates': [-74.2275, 2.94083333333333]}"
Desminado militar en operaciones,META,50,MAPIRIPÁN,50325,2016,8,Incidente,Sin informacion,Rural,3.20472222222222,-72.3025,EN GUARANI,"{'type': 'Point', 'coordinates': [-72.3025, 3.20472222222222]}"
Desminado militar en operaciones,NARIÑO,52,TUMACO,52835,2016,9,Incidente,Sin informacion,Rural,1.42083333333333,-78.7238888888889,EL MIEDO,"{'type': 'Point', 'coordinates': [-78.7238888888889, 1.42083333333333]}"
Desminado militar en operaciones,HUILA,41,ALGECIRAS,41020,2016,9,Incidente,Sin informacion,Rural,2.47638888888889,-75.3013888888889,VDA. ANDES LA GRUTA,"{'type': 'Point', 'coordinates': [-75.3013888888889, 2.47638888888889]}"
Desminado militar en operaciones,META,50,MAPIRIPÁN,50325,2016,10,Incidente,Sin informacion,Rural,3.23805555556,-72.3611111111,LA COOPERATIVA,"{'type': 'Point', 'coordinates': [-72.3611111111, 3.23805555556]}"
